track_name,artist_name,streams,danceability_pct,energy_pct
Efecto,Bad Bunny,1047480053,80,48
See You Again,"Tyler, The Creator, Kali Uchis",1047101291,56,56
Running Up That Hill (A Deal With God),Kate Bush,1024858327,63,55
Falling,Harry Styles,1023187129,57,27
Revenge,XXXTENTACION,1022258230,75,25
Anti-Hero,Taylor Swift,999748277,64,63
Glimpse of Us,Joji,988515741,44,32
Where Are You Now,"Lost Frequencies, Calum Scott",972509632,67,64
I Love You So,The Walters,972164968,58,67
HEARTBREAK ANNIVERSARY,Giveon,951637566,61,46
Sure Thing,Miguel,950906471,68,60
Wait a Minute!,Willow,924193303,76,71
THATS WHAT I WANT,Lil Nas X,920797189,74,85
Dark Red,Steve Lacy,920045682,60,78
Moscow Mule,Bad Bunny,909001996,80,67
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",899183384,80,80
Infinity,Jaymes Young,888046992,67,67
PROVENZA,Karol G,885093467,87,52
Lover,Taylor Swift,882831184,43,55
MIDDLE OF THE NIGHT,Elley Duhï¿,872137015,41,61
Streets,Doja Cat,865640097,75,46
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",863756573,82,86
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,851070493,75,61
happier,Olivia Rodrigo,850608354,39,45
Creepin',"The Weeknd, 21 Savage, Metro Boomin",843957510,71,61
Apocalypse,Cigarettes After Sex,841749534,37,47
Dream On,Aerosmith,838586769,39,43
Bones,Imagine Dragons,838079900,77,72
Good Days,SZA,826623384,46,78
Freaks,Surf Curse,824420218,35,94
Bad Habit,Steve Lacy,822633917,69,51
Lost,Frank Ocean,822239726,91,61
cardigan,Taylor Swift,812019557,61,58
Desesperados,"Chencho Corleone, Rauw Alejandro",809306935,87,69
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,807561936,35,23
Golden,Harry Styles,807015863,45,84
Pink + White,Frank Ocean,806397070,54,55
Cruel Summer,Taylor Swift,800840817,55,72
RAPSTAR,Polo G,797402345,79,54
Levitating,Dua Lipa,797196073,69,88
Style,Taylor Swift,786181836,60,79
favorite crime,Olivia Rodrigo,783706581,40,29
DESPECHï¿,ROSALï¿½,782369383,92,62
Bored,Billie Eilish,777765388,60,33
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",775542072,64,70
La Santa,"Daddy Yankee, Bad Bunny",759208783,74,87
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",756907987,76,70
golden hour,JVKE,751134527,51,59
Late Night Talking,Harry Styles,743693613,71,73
Until I Found You,Stephen Sanchez,726434358,34,51
SNAP,Rosa Linn,726307468,56,64
Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,67,76
About Damn Time,Lizzo,723894473,84,74
About Damn Time,Lizzo,723894473,84,74
we fell in love in october,girl in red,723043854,57,37
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",721975598,78,63
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",720825549,89,82
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",720434240,88,59
MAMIII,"Karol G, Becky G",716591492,84,70
SNAP,Rosa Linn,711366595,56,64
I Was Never There,"The Weeknd, Gesaffelstein",705469769,32,74
Master of Puppets (Remastered),Metallica,704171068,54,83
Bound 2,Kanye West,703301727,37,66
After Hours,The Weeknd,698086140,66,57
First Class,Jack Harlow,694525298,91,56
Lost in the Fire,"The Weeknd, Gesaffelstein",686734357,66,68
A Tu Merced,Bad Bunny,685071800,86,79
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,685032533,62,53
Reminder,The Weeknd,684675814,71,50
Una Noche en Medellï¿½,Cris Mj,682475162,87,53
Romantic Homicide,d4vd,681583126,56,55
Cool for the Summer,Demi Lovato,677389855,59,62
Do It To It,"Cherish, ACRAZE",674772936,85,81
Hey Mor,"Ozuna, Feid",674072710,90,59
Volvï¿,"Aventura, Bad Bunny",673801126,73,86
You Right,"Doja Cat, The Weeknd",672656250,83,62
Neverita,Bad Bunny,671365962,88,50
"jealousy, jealousy",Olivia Rodrigo,665765558,70,58
It's the Most Wonderful Time of the Year,Andy Williams,663832097,24,60
Gasolina,Daddy Yankee,657723613,86,80
The Motto,"Tiï¿½ï¿½sto, Ava",656013912,75,76
Sunroof,"Nicky Youre, Dazy",652704649,77,71
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",651732901,72,72
After Dark,Mr.Kitty,646886885,58,60
Here With Me,d4vd,635412045,58,48
Mistletoe,Justin Bieber,629173063,67,54
2055,Sleepy hallow,624515457,78,52
Sparks,Coldplay,624101957,37,27
Enchanted,Taylor Swift,621660989,45,62
TQG,"Karol G, Shakira",618990393,72,63
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",618885532,54,67
Party,"Bad Bunny, Rauw Alejandro",614555082,83,80
Stargirl Interlude,"The Weeknd, Lana Del Rey",611700552,59,48
Volando - Remix,"Sech, Bad Bunny, Mora",610045621,66,69
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",609293408,74,69
Permission to Dance,BTS,608334048,70,74
Tarot,"Bad Bunny, Jhay Cortez",608228647,80,68
august,Taylor Swift,607123776,51,61
Te Felicito,"Shakira, Rauw Alejandro",606361689,70,64
Feliz Cumpleaï¿½ï¿½os Fe,Feid,601863821,87,55
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",600976848,34,57
Softcore,The Neighbourhood,599770206,57,58
Miï¿½ï¿½n,"Tini, Maria Becerra",596152090,85,54
CUFF IT,Beyoncï¿,595900742,78,69
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",594482982,85,37
Fair Trade (with Travis Scott),"Drake, Travis Scott",593917618,67,47
Only Love Can Hurt Like This,Paloma Faith,588955257,57,89
Yandel 150,"Yandel, Feid",585695368,78,73
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,583687007,63,52
